Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-01-02,0.226439,0.231962,0.221634,0.226439,530622297.78894
2001-01-03,0.220717,0.254214,0.219839,0.249269,958536366.16597
2001-01-04,0.276118,0.281561,0.25571,0.259698,867410193.07535
2001-01-05,0.257853,0.264543,0.244415,0.249269,483748625.83396
2001-01-08,0.257853,0.258471,0.242669,0.252091,438399014.45351
2001-01-09,0.25571,0.268422,0.252091,0.261832,690892949.99007
2001-01-10,0.254214,0.258801,0.244415,0.252091,681334336.83505
2001-01-11,0.247236,0.281561,0.247236,0.274024,942887663.42289
2001-01-12,0.272199,0.274024,0.259698,0.261832,496677468.65021
2001-01-16,0.265481,0.277643,0.258801,0.260555,359117733.95311
2001-01-17,0.267315,0.267315,0.251193,0.25571,986456958.97235
2001-01-18,0.270973,0.285569,0.268232,0.284632,1439446934.6419
2001-01-19,0.295817,0.297752,0.284632,0.296755,911130483.79182
2001-01-22,0.290095,0.298629,0.280703,0.292936,609240163.88692
2001-01-23,0.293893,0.318757,0.290095,0.312068,1031806531.2339
2001-01-24,0.313812,0.315069,0.297752,0.312068,841243631.16912
2001-01-25,0.312966,0.312966,0.300822,0.303544,574493787.29164
2001-01-26,0.296755,0.301351,0.290095,0.297752,566413171.63616
2001-01-29,0.297752,0.33119,0.297752,0.330352,1003649458.306
2001-01-30,0.328239,0.334878,0.317781,0.33119,812304795.95015
2001-01-31,0.327312,0.342466,0.326335,0.329066,857214224.76247
2001-02-01,0.315069,0.327312,0.312068,0.32151,433701798.50857
2001-02-02,0.32151,0.334021,0.312068,0.313812,501328707.78248
2001-02-05,0.312068,0.312966,0.300822,0.307452,335651318.02482
2001-02-06,0.306884,0.325697,0.304541,0.32151,542821966.23074
2001-02-07,0.31446,0.317781,0.301351,0.316006,462082226.64592
2001-02-08,0.312966,0.320602,0.307452,0.316006,708722735.27107
2001-02-09,0.312068,0.316644,0.284632,0.290992,692246298.4395
2001-02-12,0.290095,0.304541,0.286147,0.299896,321579375.11145
2001-02-13,0.303544,0.311201,0.289238,0.290992,278115218.28239
2001-02-14,0.292288,0.298629,0.281561,0.296755,362638965.80272
2001-02-15,0.299896,0.312966,0.299896,0.305329,365332529.76515
2001-02-16,0.289238,0.296755,0.285569,0.289238,309603030.78458
2001-02-20,0.292288,0.295817,0.277094,0.27856,369412173.7116
2001-02-21,0.277643,0.303544,0.277643,0.287383,457825191.26301
2001-02-22,0.290095,0.294941,0.274024,0.286147,506748574.26328
2001-02-23,0.283396,0.287383,0.277643,0.286147,344743531.88826
2001-02-26,0.290095,0.299896,0.282518,0.296755,242179733.68276
2001-02-27,0.293575,0.295817,0.284632,0.294941,408855768.25792
2001-02-28,0.294941,0.295817,0.275789,0.277643,596225778.94233
2001-03-01,0.270973,0.285569,0.261832,0.285569,387675543.49642
2001-03-02,0.27856,0.311201,0.277643,0.292936,476528680.4238
2001-03-05,0.294941,0.312068,0.292936,0.310223,380297984.79393
2001-03-06,0.315418,0.335756,0.315069,0.327312,858501878.43816
2001-03-07,0.324231,0.329066,0.316006,0.323284,492177301.91981
2001-03-08,0.315069,0.32151,0.311201,0.316644,240327177.17229
2001-03-09,0.313812,0.315069,0.304541,0.30799,350925502.88203
2001-03-12,0.299896,0.302607,0.275789,0.283396,458718603.07341
2001-03-13,0.287383,0.297752,0.277094,0.297752,520084805.92394
2001-03-14,0.281561,0.312068,0.280703,0.311201,560494089.06994
2001-03-15,0.317781,0.325397,0.299896,0.299896,620960134.59739
2001-03-16,0.289238,0.308938,0.287383,0.298629,551743450.91724
2001-03-19,0.300822,0.313812,0.296755,0.312966,417645810.23523
2001-03-20,0.315418,0.318757,0.299896,0.299896,585635718.21867
2001-03-21,0.301092,0.317781,0.294941,0.306286,435672676.82838
2001-03-22,0.310223,0.33119,0.307452,0.329066,848529252.29509
2001-03-23,0.335756,0.358616,0.334878,0.350102,1108479683.5768
2001-03-26,0.351886,0.361677,0.32151,0.331539,861609258.79079
2001-03-27,0.334021,0.35095,0.333403,0.348297,637975283.61961
2001-03-28,0.336065,0.342466,0.327312,0.3376,685886953.06114
2001-03-29,0.33119,0.356812,0.327312,0.343124,719207724.47871
2001-03-30,0.343472,0.345855,0.324819,0.336065,469663521.89874
2001-04-02,0.336065,0.344908,0.325697,0.328568,399934286.58056
2001-04-03,0.325099,0.325697,0.306286,0.30799,432519262.48923
2001-04-04,0.300822,0.30799,0.285569,0.296755,804165100.63707
2001-04-05,0.313594,0.342466,0.304541,0.317781,524111883.01783
2001-04-06,0.316644,0.320223,0.302926,0.313244,381138821.72735
2001-04-09,0.315069,0.324819,0.305329,0.312676,312736699.07721
2001-04-10,0.318109,0.345536,0.316335,0.335437,536561206.6457
2001-04-11,0.349863,0.350102,0.323932,0.331857,391939150.86434
2001-04-12,0.325995,0.350332,0.321798,0.341229,350688995.67816
2001-04-16,0.336065,0.34092,0.317531,0.326335,334606736.51666
2001-04-17,0.322716,0.322995,0.2984,0.310603,803830083.87168
2001-04-18,0.328568,0.366582,0.320921,0.346743,1291435051.6043
2001-04-19,0.389024,0.392163,0.359234,0.391526,2198065359.6383
2001-04-20,0.379333,0.389891,0.374498,0.381148,813454437.94078
2001-04-23,0.370509,0.38053,0.365346,0.369015,635281785.85849
2001-04-24,0.370191,0.376861,0.357988,0.365944,442432704.65746
2001-04-25,0.368715,0.378376,0.358916,0.376233,388049974.11692
2001-04-26,0.383251,0.397318,0.375784,0.375983,938151016.57099
2001-04-27,0.3836,0.400099,0.376861,0.398734,531443560.19744
2001-04-30,0.40646,0.412841,0.378715,0.387857,580439200.92903
2001-05-01,0.38696,0.40338,0.3836,0.394566,501223563.04379
2001-05-02,0.400997,0.40646,0.392163,0.404586,432328746.14072
2001-05-03,0.395154,0.399391,0.376541,0.379981,353750456.392
2001-05-04,0.369015,0.393679,0.364728,0.392163,329712410.17112
2001-05-07,0.389891,0.392163,0.378087,0.379981,324430466.1039
2001-05-08,0.386053,0.387299,0.364389,0.374208,370049391.45158
2001-05-09,0.36738,0.37387,0.360431,0.364987,381138821.72735
2001-05-10,0.368715,0.372922,0.349215,0.350102,339008370.61538
2001-05-11,0.350332,0.35739,0.346453,0.347949,238198659.48083
2001-05-14,0.348597,0.360431,0.346453,0.354379,362757231.44125
2001-05-15,0.355885,0.388146,0.35063,0.352904,278062619.33221
2001-05-16,0.35409,0.372922,0.347949,0.366841,378136602.16221
2001-05-17,0.369015,0.370191,0.353791,0.358616,389620128.86098
2001-05-18,0.355555,0.359872,0.351886,0.358317,186588264.44214
2001-05-21,0.359534,0.364039,0.35095,0.358616,540811657.00395
2001-05-22,0.365346,0.36714,0.356203,0.357699,484405531.44354
2001-05-23,0.361677,0.361677,0.347949,0.353791,329699287.26516
2001-05-24,0.354379,0.354669,0.34436,0.353143,318807007.51201
2001-05-25,0.353143,0.354379,0.342466,0.346453,186226962.7459
2001-05-29,0.339793,0.342466,0.316644,0.326614,605324666.09884
2001-05-30,0.316006,0.316006,0.293893,0.301092,911616627.12381
2001-05-31,0.301351,0.30799,0.296475,0.303544,519572305.44149
2001-06-01,0.306286,0.320921,0.304162,0.318109,535037052.78751
2001-06-04,0.320921,0.32124,0.311569,0.31446,330730724.80331
2001-06-05,0.316644,0.32124,0.309915,0.318757,553477779.90508
2001-06-06,0.318429,0.318429,0.309257,0.315707,261816148.81408
2001-06-07,0.315418,0.330352,0.311201,0.329664,381480471.6638
2001-06-08,0.329366,0.329366,0.315418,0.32452,401944578.75549
2001-06-11,0.320602,0.320921,0.303544,0.305129,344901264.54357
2001-06-12,0.300822,0.315069,0.300822,0.308938,356391356.20599
2001-06-13,0.325995,0.330921,0.305329,0.311569,600042730.05602
2001-06-14,0.305129,0.311201,0.300822,0.302607,348829768.88377
2001-06-15,0.306006,0.316006,0.294711,0.311201,533335505.48677
2001-06-18,0.310842,0.317531,0.304541,0.309257,405800935.6999
2001-06-19,0.317531,0.325697,0.30479,0.307452,376678103.95883
2001-06-20,0.304541,0.332745,0.304162,0.329974,506347860.71802
2001-06-21,0.328239,0.350102,0.32124,0.342136,400427088.15988
2001-06-22,0.342136,0.350102,0.33119,0.338896,335546178.30139
2001-06-25,0.342466,0.365346,0.341508,0.364987,515650328.95208
2001-06-26,0.355317,0.361677,0.350332,0.361677,320009190.27589
2001-06-27,0.362623,0.365346,0.342466,0.355317,438904875.74661
2001-06-28,0.35095,0.364039,0.349215,0.358317,408730975.77164
2001-06-29,0.360132,0.382094,0.353143,0.353791,604621716.47223
2001-07-02,0.359872,0.369015,0.352246,0.363711,269876992.34372
2001-07-03,0.357988,0.368018,0.357699,0.362943,132028168.54445
2001-07-05,0.359234,0.361677,0.350332,0.353143,178658826.50882
2001-07-06,0.346453,0.349534,0.330592,0.335437,355366499.6803
2001-07-09,0.336065,0.350102,0.329974,0.345536,395894023.38857
2001-07-10,0.349215,0.351268,0.317233,0.321798,463704921.16019
2001-07-11,0.320223,0.343472,0.319655,0.343124,551966785.06265
2001-07-12,0.354669,0.377429,0.354669,0.370819,721244289.54789
2001-07-13,0.36714,0.380798,0.362943,0.378376,533473527.20231
2001-07-16,0.378715,0.382094,0.364039,0.364728,326913793.75061
2001-07-17,0.364987,0.383869,0.350332,0.382094,759991470.34281
2001-07-18,0.331539,0.346743,0.310842,0.316335,1333867761.8678
2001-07-19,0.323284,0.325995,0.300822,0.303833,1010232104.7291
2001-07-20,0.299896,0.305329,0.296475,0.304162,521556335.7557
